text,intent,shape
can you i need the area of a ellipse,calculate_area,ellipse
get the area of ellipse,calculate_area,ellipse
can you area cylinder,calculate_area,cylinder
tell me the area of ellipse?,calculate_area,ellipse
please how big is a square,calculate_area,square
compute area for prism please,calculate_area,prism
what is the area of a trapezoid please,calculate_area,trapezoid
can you compute area for square,calculate_area,square
What is the area of a cone,calculate_area,cone
calculate  the  area  of  a  rectangular  prism,calculate_area,rectangular_prism
TELL ME THE AREA OF RIGHT TRIANGLE,calculate_area,right_triangle
what is the area of a torus?,calculate_area,torus
get  the  area  of  trapezoid,calculate_area,trapezoid
how much space does a trapezoid cover please,calculate_area,trapezoid
i want to what is the area of a rectangular prism,calculate_area,rectangular_prism
find the area please,calculate_area,
i want to i need the area of a sphere,calculate_area,sphere
CALCULATE THE AREA OF A SQUARE,calculate_area,square
RIGHT TRIANGLE AREA PLEASE,calculate_area,right_triangle
can you get the area of pyramid,calculate_area,pyramid
area sphere please,calculate_area,sphere
find the area?,calculate_area,
How much space does a sphere cover,calculate_area,sphere
what's the area of this square?,calculate_area,square
find area of sphere please,calculate_area,sphere
what's the area of this cylinder,calculate_area,cylinder
i need the area of a cone,calculate_area,cone
find  area  of  polygon,calculate_area,polygon
can you find the area,calculate_area,
compute area for torus please,calculate_area,torus
can you calculate prism area,calculate_area,prism
can you compute area for ellipse,calculate_area,ellipse
get the area of parallelogram please,calculate_area,parallelogram
what's  the  area  of  this  cone,calculate_area,cone
Calculate cylinder area,calculate_area,cylinder
what is the area of a pyramid,calculate_area,pyramid
Area parallelogram,calculate_area,parallelogram
Area ellipse,calculate_area,ellipse
GET THE AREA OF CYLINDER,calculate_area,cylinder
calculate  trapezoid  area,calculate_area,trapezoid
can you what's the area of this torus,calculate_area,torus
how much space does a pyramid cover,calculate_area,pyramid
find area of torus,calculate_area,torus
can you find area of sphere,calculate_area,sphere
area ellipse,calculate_area,ellipse
calculate ellipse area please,calculate_area,ellipse
I need the area of a parallelogram,calculate_area,parallelogram
GET THE AREA OF TRIANGLE,calculate_area,triangle
find area of cylinder,calculate_area,cylinder
please how much space does a cone cover,calculate_area,cone
Tell me the area of ellipse,calculate_area,ellipse
WHAT IS THE AREA OF A RIGHT TRIANGLE,calculate_area,right_triangle
what's the area of this rectangular prism?,calculate_area,rectangular_prism
get the area of prism,calculate_area,prism
i want to what is the area of a square,calculate_area,square
right  triangle  area  please,calculate_area,right_triangle
can you what is the area of a pyramid,calculate_area,pyramid
Calculate the area of a ellipse,calculate_area,ellipse
tell me the area of sphere,calculate_area,sphere
calculate the area of a triangle?,calculate_area,triangle
what is the area of a parallelogram,calculate_area,parallelogram
please i need the area of a cone,calculate_area,cone
find area of sphere please,calculate_area,sphere
how big is a parallelogram?,calculate_area,parallelogram
i want to compute area for pyramid,calculate_area,pyramid
Tell me the area of cone,calculate_area,cone
find  the  area,calculate_area,
rectangle area please,calculate_area,rectangle
Get the area of prism,calculate_area,prism
compute area for prism,calculate_area,prism
please area prism,calculate_area,prism
please i need the area of a square,calculate_area,square
How much space does a torus cover,calculate_area,torus
can you find the area,calculate_area,
area of a right triangle with side 69.5,calculate_area,right_triangle
how big is a cube?,calculate_area,cube
find the area?,calculate_area,
i want to find area of pyramid,calculate_area,pyramid
How big is a cube,calculate_area,cube
can you area right triangle,calculate_area,right_triangle
Circle area please,calculate_area,circle
please compute area for rectangle,calculate_area,rectangle
calculate rectangular prism area?,calculate_area,rectangular_prism
what is the area of a cube please,calculate_area,cube
AREA OF A RIGHT TRIANGLE WITH 71.5 CM,calculate_area,right_triangle
please find the area,calculate_area,
What's the area of this right triangle,calculate_area,right_triangle
Find the area,calculate_area,
calculate  the  area  of  a  torus,calculate_area,torus
can you tell me the area of prism,calculate_area,prism
how much space does a triangle cover,calculate_area,triangle
i want to calculate the area of a polygon,calculate_area,polygon
Area pyramid,calculate_area,pyramid
Calculate trapezoid area,calculate_area,trapezoid
what's  the  area  of  this  prism,calculate_area,prism
can you find area of square,calculate_area,square
get  the  area  of  ellipse,calculate_area,ellipse
how much space does a parallelogram cover?,calculate_area,parallelogram
How big is a square,calculate_area,square
please tell me the area of rectangular prism,calculate_area,rectangular_prism
find  the  area,calculate_area,
i want to what is the area of a triangle,calculate_area,triangle
area of a sphere with length 13.3,calculate_area,sphere
please what is the area of a circle,calculate_area,circle
Compute area for parallelogram,calculate_area,parallelogram
please triangle area please,calculate_area,triangle
can you area prism,calculate_area,prism
please i need the area of a ellipse,calculate_area,ellipse
area triangle,calculate_area,triangle
please i need the area of a polygon,calculate_area,polygon
calculate  the  area  of  a  prism,calculate_area,prism
Calculate the area of a square,calculate_area,square
PRISM AREA PLEASE,calculate_area,prism
compute area for cylinder,calculate_area,cylinder
i want to area ellipse,calculate_area,ellipse
What's the area of this rectangle,calculate_area,rectangle
please find the area,calculate_area,
area of a square with base 18.7 please,calculate_area,square
calculate  square  area,calculate_area,square
find area of right triangle please,calculate_area,right_triangle
please compute area for pyramid,calculate_area,pyramid
i need the area of a ellipse?,calculate_area,ellipse
how big is a sphere please,calculate_area,sphere
please what is the area of a cylinder,calculate_area,cylinder
what is the area of a sphere,calculate_area,sphere
find area of rectangle please,calculate_area,rectangle
i want to tell me the area of cube,calculate_area,cube
get  the  area  of  cylinder,calculate_area,cylinder
Find area of square,calculate_area,square
Find area of rectangular prism,calculate_area,rectangular_prism
i want to what is the area of a prism,calculate_area,prism
HOW MUCH SPACE DOES A CYLINDER COVER,calculate_area,cylinder
what  is  the  area  of  a  rectangle,calculate_area,rectangle
can you what is the area of a polygon,calculate_area,polygon
area cylinder,calculate_area,cylinder
HOW MUCH SPACE DOES A PRISM COVER,calculate_area,prism
i want to find area of parallelogram,calculate_area,parallelogram
i want to i need the area of a right triangle,calculate_area,right_triangle
get the area of cone please,calculate_area,cone
how much space does a circle cover,calculate_area,circle
compute  area  for  cone,calculate_area,cone
calculate the area of a ellipse?,calculate_area,ellipse
i want to calculate rectangle area,calculate_area,rectangle
TELL ME THE AREA OF TRAPEZOID,calculate_area,trapezoid
how much space does a triangle cover?,calculate_area,triangle
please area cylinder,calculate_area,cylinder
calculate the area of a sphere please,calculate_area,sphere
Triangle area please,calculate_area,triangle
Find area of sphere,calculate_area,sphere
can you find the area,calculate_area,
compute area for ellipse please,calculate_area,ellipse
i  need  the  area  of  a  rectangle,calculate_area,rectangle
please how big is a circle,calculate_area,circle
how  much  space  does  a  ellipse  cover,calculate_area,ellipse
What is the area of a square,calculate_area,square
What is the area of a square,calculate_area,square
please how big is a rectangular prism,calculate_area,rectangular_prism
calculate right triangle area please,calculate_area,right_triangle
i want to compute area for triangle,calculate_area,triangle
HOW MUCH SPACE DOES A POLYGON COVER,calculate_area,polygon
I need the area of a rectangular prism,calculate_area,rectangular_prism
COMPUTE AREA FOR CONE,calculate_area,cone
can you what's the area of this rectangular prism,calculate_area,rectangular_prism
compute area for cylinder,calculate_area,cylinder
area of a pyramid with base 56.3?,calculate_area,pyramid
I need the area of a cube,calculate_area,cube
please area of a ellipse with width 67.6,calculate_area,ellipse
calculate  the  area  of  a  rectangular  prism,calculate_area,rectangular_prism
i want to get the area of parallelogram,calculate_area,parallelogram
compute area for parallelogram,calculate_area,parallelogram
ellipse area please?,calculate_area,ellipse
what's the area of this cone?,calculate_area,cone
please what's the area of this pyramid,calculate_area,pyramid
area of a rectangular prism with radius 90.8?,calculate_area,rectangular_prism
area  cone,calculate_area,cone
cone area please please,calculate_area,cone
GET THE AREA OF TORUS,calculate_area,torus
how much space does a rectangle cover,calculate_area,rectangle
can you cone area please,calculate_area,cone
please compute area for torus,calculate_area,torus
tell me the area of rectangular prism?,calculate_area,rectangular_prism
tell me the area of pyramid,calculate_area,pyramid
can you area torus,calculate_area,torus
i want to how much space does a parallelogram cover,calculate_area,parallelogram
please what is the area of a sphere,calculate_area,sphere
Find the area,calculate_area,
find the area please,calculate_area,
how  big  is  a  trapezoid,calculate_area,trapezoid
i need the area of a rectangular prism?,calculate_area,rectangular_prism
i want to what is the area of a pyramid,calculate_area,pyramid
what  is  the  area  of  a  torus,calculate_area,torus
find  area  of  square,calculate_area,square
can you what's the area of this parallelogram,calculate_area,parallelogram
calculate square area?,calculate_area,square
GET THE AREA OF RIGHT TRIANGLE,calculate_area,right_triangle
calculate circle area please,calculate_area,circle
can you what is the area of a rectangle,calculate_area,rectangle
can you how big is a torus,calculate_area,torus
prism  area  please,calculate_area,prism
I need the area of a rectangular prism,calculate_area,rectangular_prism
